Name,Tag,puuid
Petit0,028,3lvZSrQ_s6OBjpKQ59ZfDxe_OPo6BgCIm2gi9cpgLvF1J7OiOtch9fShNE5HkY2QdiAZ932CDmi_8A
最长的电影,JAY,DueH9LLwBax4DJcFPpTpi5hIWv52bLETZ_ne8s_BHmmC3eC_64cZFARKnCyBVivx19LOKIDZlKOu3g
LEEaugeoflegends,EUW,OMF7Ms174ni84TGqTS3irvX_b86Trl_ThRsi_A4KaETyrIsbxFqyR1byLq1iqdb_pb2YBRFaadbHyA
xLayron,EUW,A7zA17Mb6zNMDDmkPF9o1sEjg_CwQhDCdy3NyJdrImnP1s3ggdP3I-inT6YpXHn15X2XpGzYY4ORow
Tiger XoXo,EUW,LAZqdkdGmsHjOQ5WKdBklQ7DRn7_RJIEHWiFeyq95G4xchPIXvNB5-JH5RC8u2du6h8oWrWOTby3mQ
ManoJaack,WUJU,GySeA5VvUaYg7NlCIGo6helKfaAS_FbY7OszVS7ThmRXwvZv5oHoizUgGcQl4L6B0EF8OJfwAmiU4Q
sybau nihao,xxx,n32WEc_-rLm8oDUxWQhwArSOAF4XNr0_xrwxJ4EmidUSmhPccLSae8fejKdUDBgFtGwu17w2PddXVg
BurnEveryTurn,EUW,nufpqTs-LGTQYIDSpsCoz49RZA7gNn8F1efByJxx9bRn8YyEfmDfHAZYRgD6myhCiGn5NBcExGgIhw
Ludde,Jng,NhVF1iyViJp4lnpeWJ6OZgBpmxU3finaby209R7fkt0aDO--XV4jV9wFt_FQGVE6m5hgNfjqHQpDzQ
JacianT,0007,GpbePmun9wSCpJOrNDRRTF16WWciaZ10ow5tNZVZ4TRN-OaNmKygYGByMJxvFwljG1UkTKFAtrqQzw
Tazoneta,GOATH,5dNC0JVRYWDMlugu2_YYWlBLoVrmNN6tZRmgChTsno6-cfIkqxr9Wwc9CiSFW3RuVgfrweqpK713Aw
Dartox,1236,Z8tLh58TL38pzqeRjEa-cwfqfgfBfAbiQNLTk1cQUvwB2-WztyRp8yvtpJuoDJt6Wj8jNkFY264xbA
R2D2KenaiBy,WPGG,44lNcU60zIL-xveeZRBd2KNa8szX0altVqTQiVJm_f5oYGuvE07lvvXSVqxaxaABhLodFYe30Mwd_w
SangonomyaKokomi,EUW,yK_8JpHrnTcEnnT6cJu-9k2J0_Y8x0xpO-g7ytrHCCGflWk5PQegzBvTnJcWiAxF7asTbPTUiEq76A
ζξHeartlessζξ,666,28yw3Z7Z1xk_YEfA2vGMLWQcO21DrvhcR541SI4Qn9MTJJDOFYtUHBiBAWyR6Y2q_JJaGKxlHNh-eQ
Ipecacuhana,2835,BQE5j_SIIzIU1MMzHzMcxwEAkpo7dbI9J1xr2ievVRqvNQYEDyyKR0AC7vcm4icLKYHx0T1dDYYdWQ
5teinthor,EUW,9ROdQH-ZdRvSb9be6ngLp25BUiWldCeEDhZGWME3Bq2Sdp2nupQo4bq9mwONLE9chunh6V5ic2AgUA
LP2N,Lau,gqewLlbs-U-R2C06yQzX5q_cpXvF7rpH3L-JMvlMqvAIS4-YETcrlLbigtR6PNFozQHAgXgnfKNFgA
LP Spender,EUW,8KMoI8AuKiU6Wil-RU1_wX6PEilCdUaqjDki9PufoTUG7X8PVUPB4WEg7Uj4v6CExzqMXcjUhoTA3A
AzN D Rainmaker,EUW,O9obHRK2_iVv5k1ib89-zyIg-kdQ88j8LcJnCs_MQJSPaac5OScgFfOOBkoeKls4s-uqnC0RNDxvkQ
Le Fauve Véloce,ADIX,jcbgUoIW8iyV5PJWNO3kw-Tx3DEb78L1HxwjsW1vOSouBWiHelDe22_i9g2xMkY7yL220_oM4YY5wQ
Luck Sin,EUW,KJ8vfp4lpDbV9CMRrYT3duMXEVy4PZ6TdsiP4HVqCxRD1P7d0nhNphrT3WKttOKYYv8NzlAg4doCEA
Sassy Sea Otter,EUW,lIHjJcCCyh98AehjTwG6Sv7K_DOG5s9B9Q-bjshozfCT7-7aah4n_ODVl49l5EIPEUNhacwcoTz3qw
Gerbentjeeuh,EUW,qBhjvDSIeMGbXT76pg4VM4wjGSbXpvd6ESW-iB1J8wlHD7FcJQkFt6Cg5ZMe7cpKu82t8CHXpSVA7g
tgv485,EUW,OS6litp7OsmZQ6zk2iZj8lJ2Uu1rMdcVgVwY2n1QjfDZtn_KlR4fXObpJtrBzGlQ5d7AxAzq0Q99TA
II Mizzu II,PAPI,zVnncmnoPUw5BiXvEzX1Ip1e9kcuL9f2ai0rv_g8YLGHs_KjEjZbufaYKgncYbGd70HIrlgjX8R8Zg
GaZu v2,EUW,brpQs5Kj3cCOB8ybIwXEHj6aGK59f7asQ_1of_vFx7HSFidQYPsLUajZm4iGOf1K5NX_XrxgxEceKw
Tchabal,00000,_Lc1eGvZpwdXrdsiKVnNBCPEsDBkYA_l5LYeC04IW7fS6tNLy_wvEpaljeBj7EUGVRMssNBNFQjO9g
I am Velcory,EUW,VlpksJIZ2HmV7tXPrxqVSzFISMa4GGJZbdcVC-TcBAOipb4RHfanY4FCN5tMTqXz5a1uhQhq8Vgd2g
48014,EUW,LOI2IBJL-ZNEo0VKLcQzJoLPxS6ROKu0Jy1ua5CXRlXZUx-5r7kvPlQWNxMB5MQGOBixODqocjh8LQ
Kinda,sus,6Z6SWtYK7LAIRZ4PKoVXwbbryN-4BIU9iBWJO1V-hGedBK1m5lFltMIxmdOvuQrCMQvvV6r60mHbNw
lemme tell u sum,man,vY8jAVTp-UAgR8r-iMPz1F7WSPsZbnBjzNTLkS2_tnME2UDXzIwgs2ckF5fyoO8vFabkzKDWQ_5AMg
CHΙLL,Frogy,AEUPaR3MHTTxMyzwBEUTKD1_H9PaSh-NhLnuiO_FjyBv3ABEOGiW7PN5CH_pmpKJtrej0VvuPDokVA
Davidodos,JHIN,saRvlfsFuOO9YSqZ47PdYbh4-0bMbsBvka9nqVFdCEk1IHeWmYyAU18CjrPU-WBHogbVjgNuGWoU8w
Nephis,000,kQ4gSOyB7x3pi9Fq6YMLCYuVbgbi9y9wWz3L147IPqLXagK6QfigyKpnX_6IFuPvvoezZIxfK6VAsA
Jeeryxus,Ahri,Wr9m0uKmoGZadu8c1_10A1dcjrl2OMphjRMQP5_Q4S1-IG2PlavQO7mufr_lOGMgj__g_-bjYibbvg
vΛvΔvΔvΔvΛv,EUW,H9wG0smxeLv-IUJRLbMmMz7kaLf2fHfROqpBBmr5Qy65y1uYEXoiONMDYRaOEj7NmXRLd_jLKwA7Kg
Light,DeaNo,_nYFSTnVMxkRqPcDpsOTqzRRLfPV8CwmtxphBOrsfkr5nbCDGGIW6JVJcsDe2wuqbtlch_lEQllgyA
Frogi,GOAT,Cbqo9YopAYAmq_0WVo49DGdTZ5ojZEAOBr49a8VCVzF_QyPUEubr0xMR61ZBrH-p__1RguIqXBF15w
Pony With Dreams,Heca,aGdrVi16c3DdjC4B5OxH7EKcdq7TFmfL6CudIJ9xMjFR_JMahPWBk59IbQ-LZzpGAUgdEBVWd6Ge-g
SD elpapitoguapo,EUW,i3MHj9ZT9ADsZvH_zWA06PnqQ3UhEO4HjMItyL9XoHVE3eH9scYaJ1ztsNGqzleEcQStNGP2PzFevA
Juggerknutt,1732,S21jHQH94bI384qUB3G_pDzHLmKRGDMUXQ5zX9GKBwL8xva9wfjzoZCZ6qAzTxcy1U5rNcSDHHurSg
TORE TIRED,FRP,ZdWGAO2vpDE7N7lZ0HYv28WrklXVMO_JHllmye33zle_4qs7_ASdeAjR3bt95lGrqWiHbOStfMQMYg
ReaI Enzo,777,KUkb1Wrmpu3M0Zq9NSLjBh3TH38R5Yn1A5Vdh7e3CEZcHFaaGmxw-ow7tYU4HgyKAS_cum1BvG7Mpg
Enzo v2,EUW,Jsxi3szRUCh1R2ZD3VrDAfXkKMUTe0-GTW6bsmHy4X9UArEHp1rg-3KsTj01_xSTfppnneHjlrslBw
overwater,xdd,BQ5PLxzQtxaTqwHeZEPYnsdEdy19XBZiU-t8N-F-I7baMlak2C21M7_eh52unUZi9sCj4pIa6CN91Q
Roý,EGO,lMINBLKGPYVbjmVshRTfQRyUQ9xjQddhi_4UE7Zf0UGTraFTceTJFnvHMl6_NCvPjHnc8y5sU_lMXg
Sedoql,7300,X4jSs0LSdiFaUEEBaWBtO2g9aH6naIiBRu3uq3-wOy7Pji7lzrKucyXp-k8exp3qzKMctmPZvNBOEw
XTotsuka,EUW,df_I-kJt6BVZ_VLpF_bAl2zs6P2g4dTS7Z_qnphq9lHqQQ8HMYEXbPkBUEg4iI2JYWuaCBQP9ZP3FA
Darwin at Work,Fit,9YCJfWOzsZ4zm0TxejlXGGDPZRyg1noB0s4wKc1xFuL7UhcRzAMs2pq3plfm0HFq99f96R5RCFEQdg
CambodianGOD,CHONG,YX2waOtyLvmN1DzffdTC8ignzmPl1IWttK2pw2Vii8igRDGOei6rqhp98GXH4RlISyMvRUK8gKjdBA
